station_name,station_id
90s Alternative Radio,104534970646684909
Alice In Chains Radio,77231897905743608
Blues Guitar Legends Radio,76173068208197877
Black Jazz Instrumentals Radio,78436962649787519
Bossa Nova Radio,116265660203425097
Chase & Status Radio,87129701578983823
Classical Americana,110177664320414104
Classic Country Radio,81940006695885292
Classic Rock Radio,113809351226962772
Classical for Studying Radio,98854893577584592
Classical Guitar Radio,75616715324542127
Classical Solo Piano Radio,85280323021071552
CREED RADIO,107251863878918573
Daft Punk Radio,131470806503942378
Drum & Bass Radio,73191192673669102
Euro Beats Radio,114420679692021118
Funk Radio,93595929461947018
Hipster Cocktail Party Radio,116798923342896596
JAZZ FRUITS MUSIC RADIO,128737420597291214
James Brown Radio,90411743787894459
Lofi House Radio,105601496925621488
Memphis Soul Radio,122039195760876067
Smooth Jazz Christmas Radio,135053015387232385
Steely Dan Radio,130267940783151020
Strobe Radio,94345796392081002
Symphonic Radio,132832001899126349
Yacht Rock Radio,113809351226962801
